route_id,number_of_buses,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,number_of_cancellations,cancellation_rate
51-318,7156,236,236,236,236,196,236,236,236,236,236,236,196,236,236,236,236,236,236,196,236,236,236,236,236,236,196,236,236,236,236,236,5,0.000698714365567356
53-318,7868,260,260,260,260,212,260,260,260,260,260,260,212,260,260,260,260,260,260,212,260,260,260,260,260,260,212,260,260,260,260,260,3,0.0003812913065582105
54-318,2300,84,84,84,84,8,84,84,84,84,84,84,8,84,84,84,84,84,84,8,84,84,84,84,84,84,8,84,84,84,84,84,0,0.0
55-318,7768,264,264,264,264,160,264,264,264,264,264,264,160,264,264,264,264,264,264,160,264,264,264,264,264,264,160,264,264,264,264,264,14,0.0018022657054582905
56-318,2484,92,92,92,92,0,92,92,92,92,92,92,0,92,92,92,92,92,92,0,92,92,92,92,92,92,0,92,92,92,92,92,4,0.001610305958132045
57-318,10256,336,336,336,336,296,336,336,336,336,336,336,296,336,336,336,336,336,336,296,336,336,336,336,336,336,296,336,336,336,336,336,6,0.0005850234009360375
58-318,4190,146,146,146,146,62,146,146,146,146,146,146,62,146,146,146,146,146,146,62,146,146,146,146,146,146,62,146,146,146,146,146,0,0.0
6-318,9670,314,314,314,314,298,314,314,314,314,314,314,298,314,314,314,314,314,314,298,314,314,314,314,314,314,298,314,314,314,314,314,13,0.001344364012409514
602-318,486,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,0,0.0
609-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
61-318,8758,298,298,298,298,178,298,298,298,298,298,298,178,298,298,298,298,298,298,178,298,298,298,298,298,298,178,298,298,298,298,298,8,0.0009134505594884677
611-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
612-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
613-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
618-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
619-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
62-318,4476,148,148,148,148,120,148,148,148,148,148,148,120,148,148,148,148,148,148,120,148,148,148,148,148,148,120,148,148,148,148,148,1,0.00022341376228775692
620-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
622-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
624-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
63-318,6462,218,218,218,218,144,218,218,218,218,218,218,144,218,218,218,218,218,218,144,218,218,218,218,218,218,144,218,218,218,218,218,16,0.0024760136180748994
630-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
631-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
632-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
633-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
634-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
635-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
638-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
639-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
64-318,4914,182,182,182,182,0,182,182,182,182,182,182,0,182,182,182,182,182,182,0,182,182,182,182,182,182,0,182,182,182,182,182,3,0.0006105006105006105
640-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
641-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
644-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
645-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
648-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
649-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
658-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
66-318,1782,66,66,66,66,0,66,66,66,66,66,66,0,66,66,66,66,66,66,0,66,66,66,66,66,66,0,66,66,66,66,66,1,0.0005611672278338945
660-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
661-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
665-318,432,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,0,0.0
669-318,432,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,0,0.0
670-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
674-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
675-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
678-318,108,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0.0
681-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
686-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
689-318,270,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0.0
691-318,162,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0.0
698-318,486,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,18,0,18,18,18,18,18,0,0.0
7-318,10046,330,330,330,330,284,330,330,330,330,330,330,284,330,330,330,330,330,330,284,330,330,330,330,330,330,284,330,330,330,330,330,16,0.0015926737009755126
73-318,1188,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,1,0.0008417508417508417
74-318,7102,242,242,242,242,142,242,242,242,242,242,242,142,242,242,242,242,242,242,142,242,242,242,242,242,242,142,242,242,242,242,242,2,0.000281610813855252
